JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,
BOM name：null-JLCPCB Assembly Order.xlsx,,Download Time：2026-03-06 12:02:31,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,
PCB Assembled Qty：5,,Est. Total Price：47.1463,,,,,,,,,,,
Your BOM,,,,,,,,Order Information,,,,,
Top Designator,Comment,Footprint,Part # ,Manufacturer,Footprint,Description,Category,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
L8,4.7uH,Inductor_SMD:L_0402_1005Metric,IHLP1616BZER4R7M5A,Vishay Intertech,"SMD,4.5x4.1mm","1.8A 110mΩ 4.7uH AEC-Q200 ±20% SMD,4.5x4.1mm Power Inductors ROHS",Power Inductors,C3223759,https://jlcpcb.com/partdetail/VishayIntertech-IHLP1616BZER4R7M5A/C3223759,Extended,5,5 JLCPCB,2.527
Q1,PN2222A,Package_TO_SOT_THT:TO-92_Inline,PN2222ABU,onsemi,TO-92-3L,-55℃~+150℃ 1 NPN 10uA 1A 300MHz 300mV 35 40V 625mW 6V NPN TO-92-3L Bipolar (BJT) ROHS,Bipolar (BJT),C896866,https://jlcpcb.com/partdetail/onsemi-PN2222ABU/C896866,Extended,4,4 JLCPCB,0.4316
"R1,R2,R3,R5,R6,R22",0,Resistor_SMD:R_0402_1005Metric,0402WGF0000TCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 0Ω 50V 62.5mW Thick Film Resistor ±1% ±800ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,C17168,https://jlcpcb.com/partdetail/17853-0402WGF0000TCE/C17168,Basic,22,22 JLCPCB,0.0198
"R4,R14,R15,R16,R18,R19,R20,R21,R26,R27,R28",10K,Resistor_SMD:R_0402_1005Metric,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,Basic,32,32 JLCPCB,0.0256
"R7,R8",5.1K,Resistor_SMD:R_0402_1005Metric,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,C25905,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,Basic,20,20 JLCPCB,0.016
"R9,R11",22,Resistor_SMD:R_0402_1005Metric,0402WGF220JTCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 22Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,C25092,https://jlcpcb.com/partdetail/25835-0402WGF220JTCE/C25092,Basic,20,20 JLCPCB,0.016
R10,100,Resistor_SMD:R_0402_1005Metric,0402WGF1000TCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 100Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,C25076,https://jlcpcb.com/partdetail/25819-0402WGF1000TCE/C25076,Basic,20,20 JLCPCB,0.016
R12,50,Resistor_SMD:R_0402_1005Metric,AC0402JR-0750RL,YAGEO,402,-55℃~+155℃ 50V 50Ω 62.5mW Thick Film Resistor ±100ppm/℃ ±5% 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,C227387,https://jlcpcb.com/partdetail/YAGEO-AC0402JR0750RL/C227387,Extended,20,20 JLCPCB,0.018
R13,650,Resistor_SMD:R_0402_1005Metric,ERJ2RKF6650X,PANASONIC,402,-55℃~+155℃ 100mW 50V 665Ω Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,C2076870,https://jlcpcb.com/partdetail/PANASONIC-ERJ2RKF6650X/C2076870,Extended,20,20 JLCPCB,0.11
R17,390K,Resistor_SMD:R_0402_1005Metric,RCT02390KJLF,HKR(Hong Kong Resistors),402,-55℃~+155℃ 390kΩ 50V 62.5mW Thick Film Resistor ±200ppm/℃ ±5% 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,C174227,https://jlcpcb.com/partdetail/185617-RCT02390KJLF/C174227,Extended,20,20 JLCPCB,0.04
